band_level,ngram,n,count,doc_freq,doc_pct,count_per_doc,other_count_per_doc,distinctiveness_score
high_ge7,developing countries,2,90,73,0.02200783840820018,0.027132951462164608,0.0,0.027132951462164608
high_ge7,negative impacts,2,90,82,0.02472113355441664,0.027132951462164608,0.0,0.027132951462164608
high_ge7,face face,2,89,69,0.0208019294543262,0.02683147422369611,0.0,0.02683147422369611
high_ge7,children learn,2,88,66,0.019897497738920713,0.026529996985227615,0.0,0.026529996985227615
high_ge7,health problems,2,82,70,0.021103406692794695,0.02472113355441664,0.0,0.02472113355441664
high_ge7,recent years,2,185,184,0.055471811878203194,0.05577328911667169,0.038110966233989414,0.017662322882682276
high_ge7,global warming,2,217,150,0.045221585770274346,0.06542056074766354,0.05239634190088331,0.013024218846780233
high_ge7,environmental issues,2,138,110,0.03316249623153452,0.0416038589086524,0.03020469296055916,0.011399165948093235
high_ge7,human beings,2,149,133,0.040096472716309915,0.04492010853180585,0.036266922211003125,0.008653186320802725
high_ge7,several reasons,2,152,148,0.04461863129333735,0.04582454024721134,0.03759991636115136,0.008224623886059976
high_ge7,job opportunities,2,126,117,0.03527283690081399,0.03798613204703045,0.0309535696455317,0.007032562401498747
high_ge7,higher education,2,166,112,0.03376545070847151,0.05004522158577027,0.04352738590291756,0.0065178356828527115
high_ge7,air pollution,2,125,97,0.029243292131444075,0.03768465480856195,0.031239014729283775,0.006445640079278177
high_ge7,computer games,2,115,38,0.011456135061802835,0.034669882423876995,0.028457314028956564,0.006212568394920431
high_ge7,family members,2,117,75,0.022610792885137173,0.03527283690081399,0.02923973514082416,0.006033101759989827
high_ge7,mental health,2,116,99,0.029846246608381068,0.03497135966234549,0.02937862176637545,0.005592737895970042
high_ge7,social skills,2,122,74,0.022309315646668677,0.03678022309315647,0.031773662101167874,0.005006560991988596
high_ge7,artificial intelligence,2,148,92,0.027735905939101597,0.04461863129333735,0.04023278350807828,0.004385847785259071
high_ge7,high school,2,211,122,0.03678022309315647,0.06361169731685258,0.059296441095034014,0.004315256221818567
high_ge7,public transportation,2,107,74,0.022309315646668677,0.03225806451612903,0.02797028492869005,0.004287779587438981
high_ge7,amount money,2,101,88,0.026529996985227615,0.030449201085318057,0.02745881178232651,0.002990389302991548
high_ge7,economic growth,2,122,91,0.027434428700633104,0.03678022309315647,0.03394907638542187,0.0028311467077345998
low_le5,dsfs fds dsfdsssssssssss,3,20,1,0.000423908435777872,0.00847816871555744,0.0,0.00847816871555744
low_le5,dsoisd dsfs fds,3,20,1,0.000423908435777872,0.00847816871555744,0.0,0.00847816871555744
low_le5,decided children later,3,18,3,0.001271725307333616,0.007630351844001695,0.0,0.007630351844001695
low_le5,plays vital role,3,46,43,0.018228062738448497,0.01949978804578211,0.01228647682681585,0.007213311218966262
low_le5,later age past,3,17,2,0.000847816871555744,0.0072064434082238235,0.0,0.0072064434082238235
low_le5,children later age,3,32,12,0.005086901229334464,0.013565069944891903,0.006490264603095357,0.007074805341796547
low_le5,age past advantages,3,16,1,0.000423908435777872,0.006782534972445952,0.0,0.006782534972445952
low_le5,past advantages outweigh,3,16,1,0.000423908435777872,0.006782534972445952,0.0,0.006782534972445952
low_le5,outweigh disadvantages decided,3,15,1,0.000423908435777872,0.00635862653666808,0.0,0.00635862653666808
